Algorithm,InputType,Size,Run,ExecutionTimeNs,MaxRecursionDepth,Comparisons
DeterministicSelect,Random,5000,2,139400,12,47286
DeterministicSelect,Random,5000,3,138000,12,47286
DeterministicSelect,Random,5000,4,136900,12,47286
DeterministicSelect,Random,5000,5,142300,12,47286
DeterministicSelect,Random,5000,6,136200,12,47286
DeterministicSelect,Random,5000,7,152900,12,47286
MergeSort,Sorted,5000,1,45900,10,27124
MergeSort,Sorted,5000,2,46000,10,27124
MergeSort,Sorted,5000,3,45800,10,27124
MergeSort,Sorted,5000,4,46000,10,27124
MergeSort,Sorted,5000,5,46000,10,27124
MergeSort,Sorted,5000,6,45800,10,27124
MergeSort,Sorted,5000,7,49900,10,27124
QuickSort,Sorted,5000,1,196600,8,112533
QuickSort,Sorted,5000,2,184500,8,112533
QuickSort,Sorted,5000,3,236800,8,112533
QuickSort,Sorted,5000,4,245100,8,112533
QuickSort,Sorted,5000,5,181200,8,112533
QuickSort,Sorted,5000,6,172300,8,112533
QuickSort,Sorted,5000,7,171300,8,112533
DeterministicSelect,Sorted,5000,1,62600,11,41770
DeterministicSelect,Sorted,5000,2,59700,11,41770
DeterministicSelect,Sorted,5000,3,61300,11,41770
DeterministicSelect,Sorted,5000,4,56800,11,41770
DeterministicSelect,Sorted,5000,5,55900,11,41770
DeterministicSelect,Sorted,5000,6,54800,11,41770
DeterministicSelect,Sorted,5000,7,66000,11,41770
MergeSort,ReverseSorted,5000,1,79300,10,44324
MergeSort,ReverseSorted,5000,2,79900,10,44324
MergeSort,ReverseSorted,5000,3,80100,10,44324
MergeSort,ReverseSorted,5000,4,84900,10,44324
MergeSort,ReverseSorted,5000,5,82800,10,44324
MergeSort,ReverseSorted,5000,6,76700,10,44324
MergeSort,ReverseSorted,5000,7,76000,10,44324
QuickSort,ReverseSorted,5000,1,165300,8,104765
QuickSort,ReverseSorted,5000,2,169100,8,104765
QuickSort,ReverseSorted,5000,3,166900,8,104765
QuickSort,ReverseSorted,5000,4,161800,8,104765
QuickSort,ReverseSorted,5000,5,154800,8,104765
QuickSort,ReverseSorted,5000,6,150500,8,104765
QuickSort,ReverseSorted,5000,7,147400,8,104765
DeterministicSelect,ReverseSorted,5000,1,70400,10,46336
DeterministicSelect,ReverseSorted,5000,2,107900,10,46336
DeterministicSelect,ReverseSorted,5000,3,78300,10,46336
DeterministicSelect,ReverseSorted,5000,4,66600,10,46336
DeterministicSelect,ReverseSorted,5000,5,58100,10,46336
DeterministicSelect,ReverseSorted,5000,6,61200,10,46336
DeterministicSelect,ReverseSorted,5000,7,62500,10,46336
MergeSort,Duplicates,5000,1,202300,10,56038
MergeSort,Duplicates,5000,2,181700,10,56038
MergeSort,Duplicates,5000,3,229000,10,56038
MergeSort,Duplicates,5000,4,287000,10,56038
MergeSort,Duplicates,5000,5,265300,10,56038
MergeSort,Duplicates,5000,6,248000,10,56038
MergeSort,Duplicates,5000,7,261300,10,56038
QuickSort,Duplicates,5000,1,100100,2,27802
QuickSort,Duplicates,5000,2,113300,2,27802
QuickSort,Duplicates,5000,3,120000,2,27802
QuickSort,Duplicates,5000,4,99400,2,27802
QuickSort,Duplicates,5000,5,130300,2,27802
QuickSort,Duplicates,5000,6,99400,2,27802
QuickSort,Duplicates,5000,7,71500,2,27802
DeterministicSelect,Duplicates,5000,1,70500,6,19199
DeterministicSelect,Duplicates,5000,2,61800,6,19199
DeterministicSelect,Duplicates,5000,3,68200,6,19199
DeterministicSelect,Duplicates,5000,4,64100,6,19199
DeterministicSelect,Duplicates,5000,5,59600,6,19199
DeterministicSelect,Duplicates,5000,6,60900,6,19199
DeterministicSelect,Duplicates,5000,7,58800,6,19199
ClosestPair,RandomPoints,5000,1,2182800,12,6456
ClosestPair,RandomPoints,5000,2,2291300,12,6456
ClosestPair,RandomPoints,5000,3,3764500,12,6456
ClosestPair,RandomPoints,5000,4,2865600,12,6456
ClosestPair,RandomPoints,5000,5,2853100,12,6456
ClosestPair,RandomPoints,5000,6,2922200,12,6456
ClosestPair,RandomPoints,5000,7,3771900,12,6456
MergeSort,Random,10000,1,701200,11,126864
MergeSort,Random,10000,2,689200,11,126864
MergeSort,Random,10000,3,660600,11,126864
MergeSort,Random,10000,4,669100,11,126864
MergeSort,Random,10000,5,685200,11,126864
MergeSort,Random,10000,6,676700,11,126864
MergeSort,Random,10000,7,659000,11,126864
QuickSort,Random,10000,1,1071200,10,241188
QuickSort,Random,10000,2,1548200,10,241188
QuickSort,Random,10000,3,1100900,10,241188
QuickSort,Random,10000,4,815700,10,241188
QuickSort,Random,10000,5,814900,10,241188
QuickSort,Random,10000,6,820400,10,241188
QuickSort,Random,10000,7,805400,10,241188
DeterministicSelect,Random,10000,1,370400,12,98565
DeterministicSelect,Random,10000,2,340300,12,98565
DeterministicSelect,Random,10000,3,444400,12,98565
DeterministicSelect,Random,10000,4,434000,12,98565
DeterministicSelect,Random,10000,5,427600,12,98565
DeterministicSelect,Random,10000,6,422100,12,98565
DeterministicSelect,Random,10000,7,429600,12,98565
MergeSort,Sorted,10000,1,186500,11,59248
MergeSort,Sorted,10000,2,200600,11,59248
MergeSort,Sorted,10000,3,180900,11,59248
MergeSort,Sorted,10000,4,190000,11,59248
MergeSort,Sorted,10000,5,183500,11,59248
MergeSort,Sorted,10000,6,191000,11,59248
MergeSort,Sorted,10000,7,186700,11,59248
QuickSort,Sorted,10000,1,622200,9,248893
QuickSort,Sorted,10000,2,632000,9,248893
QuickSort,Sorted,10000,3,618300,9,248893
QuickSort,Sorted,10000,4,740300,9,248893
QuickSort,Sorted,10000,5,629700,9,248893
QuickSort,Sorted,10000,6,553600,9,248893
QuickSort,Sorted,10000,7,519600,9,248893
DeterministicSelect,Sorted,10000,1,215900,12,84304
DeterministicSelect,Sorted,10000,2,198000,12,84304
DeterministicSelect,Sorted,10000,3,222200,12,84304
DeterministicSelect,Sorted,10000,4,218000,12,84304
DeterministicSelect,Sorted,10000,5,213000,12,84304
DeterministicSelect,Sorted,10000,6,213600,12,84304
DeterministicSelect,Sorted,10000,7,212900,12,84304
MergeSort,ReverseSorted,10000,1,157600,11,93648
MergeSort,ReverseSorted,10000,2,160900,11,93648
MergeSort,ReverseSorted,10000,3,151900,11,93648
MergeSort,ReverseSorted,10000,4,150500,11,93648
MergeSort,ReverseSorted,10000,5,152500,11,93648
MergeSort,ReverseSorted,10000,6,261300,11,93648
MergeSort,ReverseSorted,10000,7,161100,11,93648
QuickSort,ReverseSorted,10000,1,352600,8,237995
QuickSort,ReverseSorted,10000,2,452500,8,237995
QuickSort,ReverseSorted,10000,3,378900,8,237995
QuickSort,ReverseSorted,10000,4,389100,8,237995
QuickSort,ReverseSorted,10000,5,391200,8,237995
QuickSort,ReverseSorted,10000,6,379400,8,237995
QuickSort,ReverseSorted,10000,7,376600,8,237995
DeterministicSelect,ReverseSorted,10000,1,146600,12,93661
DeterministicSelect,ReverseSorted,10000,2,147000,12,93661
DeterministicSelect,ReverseSorted,10000,3,141800,12,93661
DeterministicSelect,ReverseSorted,10000,4,140400,12,93661
DeterministicSelect,ReverseSorted,10000,5,139900,12,93661
DeterministicSelect,ReverseSorted,10000,6,139500,12,93661
DeterministicSelect,ReverseSorted,10000,7,137400,12,93661
MergeSort,Duplicates,10000,1,312500,11,121266
MergeSort,Duplicates,10000,2,278200,11,121266
MergeSort,Duplicates,10000,3,280900,11,121266
MergeSort,Duplicates,10000,4,292100,11,121266
MergeSort,Duplicates,10000,5,752700,11,121266
MergeSort,Duplicates,10000,6,673400,11,121266
MergeSort,Duplicates,10000,7,383200,11,121266
QuickSort,Duplicates,10000,1,108500,2,53230
QuickSort,Duplicates,10000,2,105800,2,53230
QuickSort,Duplicates,10000,3,106100,2,53230
QuickSort,Duplicates,10000,4,104400,2,53230
QuickSort,Duplicates,10000,5,151900,2,53230
QuickSort,Duplicates,10000,6,144000,2,53230
QuickSort,Duplicates,10000,7,142800,2,53230
DeterministicSelect,Duplicates,10000,1,168600,7,38105
DeterministicSelect,Duplicates,10000,2,178900,7,38105
DeterministicSelect,Duplicates,10000,3,174900,7,38105
DeterministicSelect,Duplicates,10000,4,175700,7,38105
DeterministicSelect,Duplicates,10000,5,179800,7,38105
DeterministicSelect,Duplicates,10000,6,165800,7,38105
DeterministicSelect,Duplicates,10000,7,168900,7,38105
ClosestPair,RandomPoints,10000,1,9031400,13,12971
ClosestPair,RandomPoints,10000,2,8609200,13,12971
ClosestPair,RandomPoints,10000,3,7716700,13,12971
ClosestPair,RandomPoints,10000,4,8579000,13,12971
ClosestPair,RandomPoints,10000,5,7432500,13,12971
ClosestPair,RandomPoints,10000,6,8948500,13,12971
ClosestPair,RandomPoints,10000,7,9118500,13,12971
MergeSort,Random,50000,1,4214900,13,769484
MergeSort,Random,50000,2,3305500,13,769484
MergeSort,Random,50000,3,3151700,13,769484
MergeSort,Random,50000,4,3331200,13,769484
MergeSort,Random,50000,5,4006400,13,769484
MergeSort,Random,50000,6,3348800,13,769484
MergeSort,Random,50000,7,3341300,13,769484
QuickSort,Random,50000,1,3809600,10,1550948
QuickSort,Random,50000,2,3876400,10,1550948
QuickSort,Random,50000,3,5045400,10,1550948
